순번,해수욕장,nx,ny,경도,위도,위치
1,을왕리 해수욕장,49,124,126.372094444444,37.4471388888889,인천
2,왕산 해수욕장,49,124,126.371216666667,37.4561527777778,인천
3,하나개 해수욕장,50,123,126.411252777778,37.3868472222222,인천
4,사계해안,49,32,126.326645,33.228580,제주
5,하모해변,48,32,126.272202,33.228752,제주
6,민머루 해수욕장,49,128,126.333530555556,37.6514305555556,인천
7,장경리 해수욕장,51,120,126.450913888889,37.277875,인천
8,옹암 해수욕장,49,126,126.356172222222,37.5347916666667,인천
9,논짓물,50,32,126.381081,33.228378,제주
10,수기 해수욕장,50,126,126.431916666667,37.543575,인천
11,동막 해수욕장,51,127,126.458186111111,37.5923833333333,인천
12,서포리 해수욕장,45,119,126.114844444444,37.2194305555556,인천
13,십리포 해수욕장,51,120,126.483555555556,37.2813944444444,인천
14,굴업 해수욕장,43,118,125.983777777778,37.1921611111111,인천
15,떼뿌루 해수욕장,46,119,126.174975,37.2124222222222,인천
16,밧지름 해수욕장,45,119,126.140486111111,37.2147666666667,인천
17,한담해변,49,37,126.327759,33.456364,제주
18,알작지,51,38,126.437309,33.501507,제주
19,한들 해수욕장,49,126,126.347047222222,37.5287333333333,인천
20,큰풀안 해수욕장,47,118,126.263361111111,37.1692222222222,인천
21,장골 해수욕장,48,120,126.314683333333,37.2493583333333,인천
22,벌안 해수욕장,47,118,126.222266666667,37.1815166666667,인천
23,지두리 해수욕장,20,132,124.679286111111,37.8212083333333,인천
24,검멀레해변,61,38,126.983902,33.497463,제주
25,세화해변,59,38,126.874588,33.498520,제주
26,모래울 해수욕장,20,132,124.684688888889,37.8138166666667,인천
27,평대해변,58,39,126.820488,33.544586,제주
28,제주신흥해수욕장,55,39,126.656403,33.545845,제주
29,월정리해변(월정리해수욕장),58,39,126.820488,33.544586,제주
30,큰말 해수욕장,48,120,126.306341666667,37.2527333333333,인천
31,진촌 해수욕장,49,126,126.334866666667,37.5504694444444,인천
32,보길도 뾰쪽산과 보옥리 공룡알해변,52,52,126.496719,34.140064,전라남도
33,진산리해수욕장,55,52,126.662285,34.139072,전라남도
34,작은풀안 해수욕장,47,118,126.257458333333,37.170575,인천
35,이일레 해수욕장,48,118,126.302102777778,37.1647111111111,인천
36,문갑 해수욕장,45,118,126.107094444444,37.1788194444444,인천
37,계남 해수욕장,48,118,126.27,37.17,인천
38,미라리해수욕장,55,52,126.662285,34.139072,전라남도
39,제부도 해수욕장,54,118,126.617294444444,37.1654944444444,인천
40,궁평리 해수욕장,55,117,126.685052777778,37.1210444444444,인천
41,대천 해수욕장,52,92,126.51,36.31,충청남도
42,벌천포 해수욕장,49,114,126.34,36.97,충청남도
43,춘장대 해수욕장,52,96,126.52,36.16,충청남도
44,꽃지 해수욕장,49,103,126.33,36.49,충청남도
45,구름포 해수욕장,46,111,126.15,36.84,충청남도
46,마검포 해수욕장,48,106,126.29,36.61,충청남도
47,지리해수욕장,59,53,126.883636,34.182987,전라남도
48,용두 해수욕장,52,98,126.54,36.26,충청남도
49,독산(홀뫼) 해수욕장,52,97,126.53,36.22,충청남도
50,장안 해수욕장,52,97,126.53,36.2,충청남도
51,무창포 해수욕장,52,98,126.53,36.24,충청남도
52,밧개 해수욕장,49,104,126.33,36.53,충청남도
53,두여 해수욕장,49,104,126.33,36.5408416666667,충청남도
54,안면 해수욕장,49,105,126.329044444444,36.5478972222222,충청남도
55,삼봉 해수욕장,48,105,126.313166666667,36.5712888888889,충청남도
56,백사장 해수욕장,48,105,126.314061111111,36.5788694444445,충청남도
57,방포 해수욕장,49,104,126.334166666667,36.5084416666667,충청남도
58,기지포 해수욕장,49,105,126.324219444444,36.5606138888889,충청남도
59,샛별 해수욕장,49,102,126.33,36.4471694444444,충청남도
60,정도리해변,56,56,126.719452,34.321442,전라남도
61,장삼포 해수욕장,49,102,126.3603,36.4223611111111,충청남도
62,바람아래 해수욕장,50,102,126.379297222222,36.4128444444444,충청남도
63,몽산포 해수욕장,48,107,126.287511111111,36.6695916666667,충청남도
64,달산포 해수욕장,48,107,126.296575,36.6537583333333,충청남도
65,청포대 해수욕장,48,107,126.298355555556,36.6393638888889,충청남도
66,갈음이 해수욕장,46,108,126.15,36.7,충청남도
67,연포 해수욕장,47,108,126.21065,36.6935916666667,충청남도
68,천리포 해수욕장,46,110,126.149347222222,36.8032722222222,충청남도
69,의항 해수욕장,46,111,126.159736111111,36.8278333333333,충청남도
70,만리포 해수욕장,45,110,126.143169444444,36.7880222222222,충청남도
71,어은돌 해수욕장,45,109,126.129569444444,36.7506,충청남도
72,파도리 해수욕장,45,109,126.131311111111,36.7381583333333,충청남도
73,학암포 해수욕장,46,112,126.204386111111,36.9031638888889,충청남도
74,구례포 해수욕장,46,112,126.197016666667,36.8875,충청남도
75,신두리 해수욕장,46,111,126.19,36.8387055555556,충청남도
76,오천몽돌해변,65,58,127.219162,34.407879,전라남도
77,꾸지나무골 해수욕장,48,113,126.292055555556,36.9351555555556,충청남도
78,난지도 해수욕장,50,115,126.423269444444,37.0473666666667,충청남도
79,원산도 해수욕장,51,100,126.43,36.36,충청남도
80,송평해변,51,58,126.443359,34.414524,전라남도
81,남성리해수욕장,68,61,127.388260,34.542812,전라남도
82,오봉산 해수욕장,50,101,126.4,36.37,충청남도
83,명장섬 해수욕장,49,101,126.34,36.4,충청남도
84,덕동몽돌해수욕장,82,62,128.166870,34.574329,경상남도
85,유동해변,83,63,128.223953,34.618801,경상남도
86,당산 해수욕장,48,98,126.27,36.27,충청남도
87,통개 해수욕장,45,108,126.142658333333,36.7280694444444,충청남도
88,띠밭넘어해변,40,62,125.833275,34.598328,전라남도
89,거멀너머 해수욕장,49,100,126.35,36.35,충청남도
90,진너머 해수욕장,49,100,126.35,36.35,충청남도
91,선유도 해수욕장,50,89,126.411416666667,35.8168555555556,전라북도
92,동호 해수욕장,52,82,126.48,35.5198472222222,전라북도
93,모항 갯벌 해수욕장,52,83,126.507543,35.582155,전라북도
94,흰작살해변,84,63,128.279526,34.617516,경상남도
95,격포 해수욕장,51,85,126.469266666667,35.6300166666667,전라북도
96,고사포 해수욕장,52,85,126.508633333333,35.6628472222222,전라북도
97,변산 해수욕장,52,86,126.529602777778,35.6802861111111,전라북도
98,위도 해수욕장,48,84,126.28,35.61,전라북도
99,외달도 해수욕장,48,66,126.296891666667,34.7819333333333,전라남도
100,천하몽돌해수욕장,79,65,128.004440,34.715115,경상남도
101,안도 해수욕장,76,60,127.812671,34.490681,전라남도
102,장등 해수욕장,72,63,127.61,34.65,전라남도
103,모사금 해수욕장,75,67,127.76,34.8,전라남도
104,만성리검은모래 해수욕장,74,66,127.744882,34.777383,전라남도
105,신덕 해수욕장,75,67,127.77,34.82,전라남도
106,방죽포 해수욕장,75,63,127.79,34.63,전라남도
107,사도 해수욕장,71,62,127.56,34.59,전라남도
108,거문도(유림) 해수욕장,66,49,127.289863888889,34.01,전라남도
109,남해 가천 해변과 암수바위,77,65,127.893120,34.717342,경상남도
110,연대도 해수욕장,86,66,128.395645,34.752064,경상남도
111,선구몽돌해변,76,65,127.837463,34.718407,경상남도
112,용동 해수욕장,64,63,127.18,34.63,전라남도
113,익금 해수욕장,64,58,127.144683333333,34.4293222222222,전라남도
114,연소 해수욕장,63,59,127.12,34.45,전라남도
115,발포 해수욕장,68,60,127.3567,34.4917666666667,전라남도
116,염포 해수욕장,70,59,127.49,34.43,전라남도
117,나로우주 해수욕장,70,59,127.468122222222,34.4706194444444,전라남도
